member_id||bill_num||congress
B001290||hr1752||115
B001290||hr1753||115
L000566||hr1754||115
B000574||hr1755||115
C001105||hr1756||115
D000096||hr1757||115
E000293||hr1758||115
G000551||hr1759||115
K000362||hr176||115
G000576||hr1760||115
J000299||hr1761||115
K000379||hr1762||115
M001185||hr1763||115
M001189||hr1764||115
N000147||hr1765||115
R000582||hr1766||115
R000604||hr1767||115
R000604||hr1768||115
V000129||hr1769||115
K000362||hr177||115
K000381||hr1770||115
B001257||hr1771||115
R000582||hr1772||115
C000266||hr1773||115
V000081||hr1774||115
D000191||hr1775||115
S001145||hr1776||115
A000374||hr1777||115
C001109||hr1778||115
C000754||hr1779||115
K000362||hr178||115
C001111||hr1780||115
D000625||hr1781||115
G000571||hr1782||115
G000546||hr1783||115
H001068||hr1784||115
K000378||hr1785||115
L000565||hr1786||115
L000570||hr1787||115
M001187||hr1788||115
N000127||hr1789||115
M001180||hr179||115
O000170||hr1790||115
R000578||hr1791||115
R000409||hr1792||115
R000577||hr1793||115
S001180||hr1794||115
S000244||hr1795||115
S001196||hr1796||115
W000804||hr1797||115
W000804||hr1798||115
W000804||hr1799||115
M001190||hr180||115
B001250||hr1800||115
T000470||hr1801||115
E000293||hr1802||115
D000628||hr1803||115
B001282||hr1804||115
B001282||hr1805||115
B001282||hr1806||115
G000552||hr1807||115
G000558||hr1808||115
L000587||hr1809||115
M001190||hr181||115
C001107||hr1810||115
T000477||hr1811||115
S001190||hr1812||115
R000575||hr1813||115
K000378||hr1814||115
E000297||hr1815||115
Y000033||hr1816||115
D000191||hr1817||115
D000612||hr1818||115
C001090||hr1819||115
M001190||hr182||115
B000574||hr1820||115
B000213||hr1821||115
B001243||hr1822||115
B000574||hr1823||115
B000574||hr1824||115
C001092||hr1825||115
C001078||hr1826||115
D000620||hr1827||115
J000290||hr1828||115
K000381||hr1829||115
M001190||hr183||115
L000287||hr1830||115
M001193||hr1831||115
M000087||hr1832||115
M000087||hr1833||115
M001159||hr1834||115
M001195||hr1835||115
N000002||hr1836||115
N000188||hr1837||115
N000181||hr1838||115
O000170||hr1839||115
P000594||hr184||115
P000594||hr1840||115
P000598||hr1841||115
R000601||hr1842||115
R000580||hr1843||115
R000599||hr1844||115
S001199||hr1845||115
W000797||hr1846||115
Y000065||hr1847||115
R000582||hr1848||115
T000475||hr1849||115
P000610||hr185||115
A000367||hr1850||115
B001245||hr1851||115
C001110||hr1852||115
C001038||hr1853||115
J000297||hr1854||115
J000255||hr1855||115
L000562||hr1856||115
L000562||hr1857||115
M001179||hr1858||115
M001179||hr1859||115
P000610||hr186||115
M001137||hr1860||115
R000586||hr1861||115
R000591||hr1862||115
R000435||hr1863||115
R000577||hr1864||115
W000812||hr1865||115
W000814||hr1866||115
Y000033||hr1867||115
R000608||hr1868||115
D000216||hr1869||115
P000610||hr187||115
C001068||hr1870||115
F000464||hr1871||115
M000312||hr1872||115
L000578||hr1873||115
C001097||hr1874||115
S001190||hr1875||115
B001243||hr1876||115
T000469||hr1877||115
V000081||hr1878||115
I000056||hr1879||115
P000610||hr188||115
J000298||hr1880||115
K000376||hr1881||115
W000187||hr1882||115
B001251||hr1883||115
C001112||hr1884||115
C001097||hr1885||115
D000610||hr1886||115
D000600||hr1887||115
G000558||hr1888||115
H001068||hr1889||115
P000610||hr189||115
K000387||hr1890||115
L000578||hr1891||115
L000557||hr1892||115
L000566||hr1893||115
L000576||hr1894||115
L000569||hr1895||115
M001159||hr1896||115
M001159||hr1897||115
M001181||hr1898||115
P000598||hr1899||115
M000087||hr19||115
P000610||hr190||115
S001187||hr1900||115
Y000033||hr1901||115
L000557||hr1902||115
S000185||hr1903||115
O000168||hr1904||115
C000984||hr1905||115
C000984||hr1906||115
J000288||hr1907||115
K000376||hr1908||115
L000581||hr1909||115
P000610||hr191||115
S001196||hr1910||115
S000522||hr1911||115
C001090||hr1912||115
P000613||hr1913||115
I000056||hr1914||115
V000081||hr1915||115
S001154||hr1916||115
J000292||hr1917||115
R000435||hr1918||115
F000465||hr1919||115
P000610||hr192||115
U000031||hr1920||115
B001299||hr1921||115
B001248||hr1922||115
C001037||hr1923||115
C001097||hr1924||115
C001097||hr1925||115
C001097||hr1926||115
C001049||hr1927||115
C001078||hr1928||115
C001111||hr1929||115
R000575||hr193||115
D000619||hr1930||115
D000399||hr1931||115
D000399||hr1932||115
D000533||hr1933||115
G000579||hr1934||115
G000579||hr1935||115
G000579||hr1936||115
G000580||hr1937||115
G000580||hr1938||115
G000568||hr1939||115
R000604||hr194||115
G000551||hr1940||115
H001077||hr1941||115
H001077||hr1942||115
K000362||hr1943||115
L000566||hr1944||115
L000566||hr1945||115
L000287||hr1946||115
L000287||hr1947||115
L000584||hr1948||115
M000087||hr1949||115
